Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall, Area_Code, Prefix, Day_of_Week, Time
6614511076,2019-12-13 03:38:28,2019-12-12 14:28:00,Fredericksburg,Virginia,339,Medical  & prescriptions,Y,661,451,3,14.47
5187043327,2019-12-13 04:48:30,2019-12-07 12:55:00,,Virginia,703,"Reducing your debt (credit cards, mortgage, student loans)",Y,518,704,5,12.92
5123609801,2019-12-13 06:18:48,2019-12-12 19:19:00,,Virginia,703,No Subject Provided,Y,512,360,3,19.32
8668500262,2019-12-13 06:19:33,2019-12-12 12:46:00,,Virginia,703,No Subject Provided,Y,866,850,3,12.77
7576935121,2019-12-13 06:20:08,2019-12-11 15:56:00,,Virginia,703,No Subject Provided,Y,757,693,2,15.93
2393479298,2019-12-13 06:20:55,2019-12-09 17:50:00,,Virginia,703,No Subject Provided,Y,239,347,0,17.83
2393479298,2019-12-13 06:21:29,2019-12-09 15:02:00,,Virginia,703,No Subject Provided,Y,239,347,0,15.03
9412026818,2019-12-13 06:21:59,2019-12-09 13:58:00,,Virginia,703,No Subject Provided,Y,941,202,0,13.97
2393091365,2019-12-13 06:22:31,2019-12-09 12:18:00,,Virginia,703,No Subject Provided,Y,239,309,0,12.30
8778591146,2019-12-13 06:23:09,2019-12-09 10:22:00,,Virginia,703,No Subject Provided,Y,877,859,0,10.37
2392373989,2019-12-13 06:23:48,2019-12-07 13:58:00,,Virginia,703,No Subject Provided,Y,239,237,5,13.97
2142831316,2019-12-13 06:24:25,2019-12-06 19:38:00,,Virginia,703,No Subject Provided,Y,214,283,4,19.63
8778589914,2019-12-13 06:24:54,2019-12-06 17:07:00,,Virginia,703,No Subject Provided,Y,877,858,4,17.12
5713511520,2019-12-13 06:36:33,2019-12-12 15:00:00,,Virginia,571,Dropped call or no message,N,571,351,3,15.00
5712824003,2019-12-13 06:37:30,2019-12-12 13:01:00,,Virginia,571,Dropped call or no message,N,571,282,3,13.02
5108358440,2019-12-13 07:32:10,2019-12-12 16:08:00,Suffolk,Virginia,757,"Reducing your debt (credit cards, mortgage, student loans)",Y,510,835,3,16.13
5108358440,2019-12-13 07:33:57,2019-12-12 17:26:00,Suffolk,Virginia,757,"Reducing your debt (credit cards, mortgage, student loans)",Y,510,835,3,17.43
5407795832,2019-12-13 07:34:13,2019-12-12 00:00:00,,Virginia,540,Vacation  & timeshares,Y,540,779,3,0.00
5108358440,2019-12-13 07:35:56,2019-12-12 17:27:00,Suffolk,Virginia,757,"Reducing your debt (credit cards, mortgage, student loans)",Y,510,835,3,17.45
5402152160,2019-12-13 07:35:58,2019-12-10 09:11:00,,Virginia,540,Home security  & alarms,Y,540,215,1,9.18
2092850924,2019-12-13 07:40:56,2019-12-12 12:03:00,Luray,Virginia,703,No Subject Provided,Y,209,285,3,12.05
8434838871,2019-12-13 07:42:21,2019-12-12 12:28:00,Luray,Virginia,703,No Subject Provided,Y,843,483,3,12.47
2155830351,2019-12-13 07:43:34,2019-12-12 13:59:00,Luray,Virginia,703,No Subject Provided,Y,215,583,3,13.98
3143754395,2019-12-13 02:36:25,2019-12-13 02:36:25,,Virginia,703,No Subject Provided,N,314,375,4,2.60
8453023603,2019-12-13 03:06:53,2019-12-13 03:06:53,,Virginia,540,No Subject Provided,N,845,302,4,3.10
5408831425,2019-12-13 03:07:42,2019-12-13 03:07:42,,Virginia,540,No Subject Provided,N,540,883,4,3.12
8453023603,2019-12-13 03:08:10,2019-12-13 03:08:10,,Virginia,540,No Subject Provided,N,845,302,4,3.13
7602766292,2019-12-13 03:08:55,2019-12-13 03:08:55,,Virginia,540,No Subject Provided,N,760,276,4,3.13
8453023603,2019-12-13 03:08:33,2019-12-13 03:08:33,,Virginia,540,No Subject Provided,N,845,302,4,3.13
8453023603,2019-12-13 03:09:12,2019-12-13 03:09:12,,Virginia,540,No Subject Provided,N,845,302,4,3.15
7602633999,2019-12-13 03:52:54,2019-12-13 03:52:54,,Virginia,540,No Subject Provided,N,760,263,4,3.87
7602633999,2019-12-13 03:53:26,2019-12-13 03:53:26,,Virginia,540,No Subject Provided,N,760,263,4,3.88
7602633999,2019-12-13 03:53:43,2019-12-13 03:53:43,,Virginia,540,No Subject Provided,N,760,263,4,3.88
8333557887,2019-12-13 08:07:42,2019-09-26 00:00:00,,Virginia,757,No Subject Provided,N,833,355,3,0.00
