Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
8052103404,2019-12-13 00:00:06,2019-12-12 20:55:00,SAN LUIS OBISPO,California,805,No Subject Provided,Y
3017702911,2019-12-13 00:00:11,2019-12-12 13:55:00,San Antonio,Texas,703,Dropped call or no message,Y
9252727716,2019-12-13 00:00:57,2019-12-10 12:34:00,Orinda,California,925,No Subject Provided,Y
3235948097,2019-12-13 00:01:56,2019-12-11 09:09:00,,California,323,No Subject Provided,Y
4085063485,2019-12-13 00:02:01,2019-12-12 16:19:00,San Jose,California,408,No Subject Provided,Y
3013149500,2019-12-13 00:02:08,2019-12-12 14:32:00,San Antonio,Texas,703,Dropped call or no message,Y
6317556200,2019-12-13 00:02:24,2019-12-06 16:30:00,Bellerose,New York,718,Dropped call or no message,N
9253322223,2019-12-13 00:02:33,2019-12-10 11:45:00,Orinda,California,925,No Subject Provided,Y
7073066302,2019-12-13 00:02:34,2019-12-12 19:02:00,,California,707,"Reducing your debt (credit cards, mortgage, student loans)",N
9528887401,2019-12-13 00:02:42,2019-12-12 17:20:00,Lovington,New Mexico,575,No Subject Provided,Y
8188066394,2019-12-13 00:03:16,2019-12-12 13:29:00,SYLMAR,California,818,Dropped call or no message,Y
3676705235,2019-12-13 00:03:17,2019-12-12 09:50:00,Las Vegas,Nevada,702,Other,Y
3234849755,2019-12-13 00:03:20,2019-12-11 15:28:00,,California,323,No Subject Provided,Y
4082729058,2019-12-13 00:03:40,2019-12-12 21:01:00,San Jose,California,408,"Reducing your debt (credit cards, mortgage, student loans)",Y
8052103404,2019-12-13 00:03:50,2019-12-12 20:55:00,SAN LUIS OBISPO,California,805,No Subject Provided,Y
3073357722,2019-12-13 00:03:57,2019-12-10 14:56:00,St. James,New York,631,No Subject Provided,N
5752610814,2019-12-13 00:04:00,2019-12-12 12:09:00,Lovington,New Mexico,575,No Subject Provided,Y
8887737014,2019-12-13 00:04:04,2019-12-09 09:48:00,Orinda,California,925,No Subject Provided,Y
8582518740,2019-12-13 00:04:06,2019-12-12 12:20:00,SYLMAR,California,818,Dropped call or no message,Y
7525721456,2019-12-13 00:04:07,2019-12-05 19:17:00,Bellerose,New York,718,Dropped call or no message,N
2092252066,2019-12-13 00:04:59,2019-12-12 17:57:00,,California,213,No Subject Provided,N
2083724737,2019-12-13 00:04:35,2019-12-12 15:38:00,,Nebraska,402,Other,Y
